title,total_gross,gross,return_rate,std_IMDB,std_Meta,rating,distributor,release_date,release_month,release_year,genre,mins,MPAA_rating,budget (millions),theatres,totalweek,IMDB_rating,director,stars,Metascore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIVEANGRY,"10,721,033",9304241.35 ,#VALUE!,-0.651220819,#VALUE!,#VALUE!,SUMMIT ENTERTAINMENT,2011/2/25,2,2011,Action,104,R,N/A,2290,8,5.5,Patrick Lussier,"Nicolas Cage,Amber Heard,William Fichtner",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRONA,"475,104","430,854",#VALUE!,-3.670162298,#VALUE!,#VALUE!,EROS,2008/10/2,10,2008,Foreign,144,Unrated,N/A,90,3,2.3,Goldie Behl,"Jayshree Arora,Veer Arya,Abhishek Bachchan",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROOL,"1,403","1,256",#VALUE!,-0.462536977,#VALUE!,#VALUE!,STRAND,2010/1/22,1,2010,Comedy,85,Unrated,N/A,1,1,5.7,Nancy Kissam,"Laura Harring,Jill Marie Jones,Oded Fehr",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSEUSSHORTONHEARSAWHO!,"154,529,439","140,136,877",1.8179934,#VALUE!,#VALUE!,#VALUE!,FOX,2008/3/14,3,2008,Animation,88,G,85,3954,25,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSEUSSTHELORAX,"214,030,500","181,979,256",3.057578571,#VALUE!,-0.690640018,#VALUE!,UNIVERSAL,2012/3/2,3,2012,Animation,95,PG,70,3729,21,NA,NA,NA,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGWAR,"128,195","107,419",#VALUE!,#VALUE!,1.698740754,#VALUE!,VARIANCE FILMS,2013/7/26,7,2013,Foreign / Action,105,R,N/A,1,12,NA,NA,NA,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUEDATE,"100,539,043",90009928.15 ,1.546754508,0.386540314,-0.391967422,-0.005427108,WARNER BROS.,2010/11/5,11,2010,Comedy,95,R,65,3355,12,6.6,Todd Phillips,"Robert Downey Jr.,Zach Galifianakis,Michelle Monaghan",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMBANDDUMBERTO,"86,208,010",71084839.78 ,2.15520025,-0.273853135,-1.287985211,-1.561838346,UNIVERSAL,2014/11/14,11,2014,Comedy,110,PG-13,40,3154,13,5.9,"Bobby Farrelly,Peter Farrelly","Jim Carrey,Jeff Daniels,Rob Riggle",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMBSTRUCK,"15,379","13,347",#VALUE!,#VALUE!,-0.630905499,#VALUE!,TRULY INDIE,2011/4/15,4,2011,Documentary,84,PG-13,N/A,1,7,NA,NA,NA,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMMAARODUM,"564,489","489,891",#VALUE!,0.10351455,#VALUE!,#VALUE!,FOX SEARCHLIGHT,2011/4/22,4,2011,Foreign,130,R,N/A,101,7,6.3,Rohan Sippy,"Abhishek Bachchan,Deepika Padukone,Bipasha Basu",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUPLICITY,"40,572,825",36919479.72 ,0.67621375,0.009172629,0.683253926,0.692426554,UNIVERSAL,2009/3/20,3,2009,Thriller,125,PG-13,60,2574,10,6.2,Tony Gilroy,"Julia Roberts,Clive Owen,Tom Wilkinson",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUSKHANIYAN,"219,071","206,316",#VALUE!,#VALUE!,#VALUE!,#VALUE!,EROS,2007/12/7,12,2007,Foreign,#VALUE!,Unrated,N/A,55,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYLANDOGDEADOFNIGHT,"1,186,538",1029736.21 ,#VALUE!,-1.028588504,-1.586657808,-2.615246312,OMNI LAB/FREESTYLE RELEASING,2011/4/29,4,2011,Horror Comedy,107,PG-13,N/A,875,3,5.1,Kevin Munroe,"Brandon Routh,Anita Briem,Sam Huntington",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYNAMITEWARRIOR,"52,292","49,247",#VALUE!,#VALUE!,#VALUE!,#VALUE!,MAGNOLIA,2007/7/6,7,2007,Foreign / Action,103,Unrated,N/A,3,2,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYSFUNCTIONALFRIENDS,"13,546","11,517",0.0027092,-0.934246583,#VALUE!,#VALUE!,DATARI TURNER PRODUCTIONS,2012/2/3,2,2012,Comedy,111,Unrated,5,2,3,5.2,Corey Grant,"Stacey Dash,Wesley Jonathan,Jason Weaver",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYSTOPIA2013,"1,708","1,452",#VALUE!,-3.009768849,#VALUE!,#VALUE!,FOUND-CHARGER CINEMA,2012/1/13,1,2012,Action / Adventure,122,Unrated,N/A,1,4,3,Johnno Zee,"Cody Brown,Steve Arvig,Kristin Mothersbaugh",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLEEYE,"101,440,743",91992755.73 ,1.268009288,0.386540314,-0.869843576,-0.483303262,PARAMOUNT (DREAMWORKS),2008/9/26,9,2008,Thriller,118,PG-13,80,3510,15,6.6,D.J. Caruso,"Shia LaBeouf,Michelle Monaghan,Rosario Dawson",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLEVSSHARK,"221,846","208,929",#VALUE!,#VALUE!,-0.153029345,#VALUE!,MIRAMAX,2007/6/15,6,2007,Comedy,87,R,N/A,3,8,NA,NA,NA,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAMESTHEARCHITECTANDTHEPAINTER,"153,088","132,857",#VALUE!,#VALUE!,0.32484681,#VALUE!,FIRST RUN,2011/11/11,11,2011,Documentary,82,Unrated,N/A,1,15,NA,NA,NA,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARTH(2009),"32,011,576","29,129,121",#VALUE!,#VALUE!,#VALUE!,#VALUE!,BUENA VISTA,2009/4/22,4,2009,Documentary,90,G,N/A,1804,15,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARTHDAYS,"26,748","24,339",#VALUE!,#VALUE!,0.742988445,#VALUE!,ZEITGEIST,2009/8/14,8,2009,Documentary,90,Unrated,N/A,1,12,NA,NA,NA,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARTHTOECHO,"38,934,842",32104638.60 ,2.994987846,-0.462536977,-0.272498383,-0.73503536,RELATIVITY,2014/7/2,7,2014,Adventure,91,PG,13,3229,18,5.7,Dave Green,"Teo Halm,Astro,Reese Hartwig",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTERNPROMISES,"17,266,000",16260707.76 ,#VALUE!,1.424301447,1.459802676,2.884104123,FOCUS FEATURES,2007/9/14,9,2007,Drama / Thriller,100,R,N/A,15,7,7.7,David Cronenberg,"Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTOFHAVANA,"11,550","10,878",#VALUE!,#VALUE!,0.742988445,#VALUE!,SONY BMG,2007/2/2,2,2007,Documentary,81,Unrated,N/A,1,2,NA,NA,NA,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASYA,"58,401,464",52285275.66 ,7.300183,0.85824992,0.862457483,1.720707403,SONY / SCREEN GEMS,2010/9/17,9,2010,Romantic Comedy,92,PG-13,8,2856,14,7.1,Will Gluck,"Emma Stone,Amanda Bynes,Penn Badgley",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASYMONEY(2012),"205,741","174,931",#VALUE!,#VALUE!,#VALUE!,#VALUE!,WEINSTEIN COMPANY,2012/7/11,7,2012,Foreign,124,R,N/A,1,10,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASYVIRTUE,"2,656,784",2417556.16 ,#VALUE!,0.480882235,0.026174213,0.507056448,SONY CLASSICS,2009/5/22,5,2009,Period Comedy,93,PG-13,N/A,10,20,6.7,Stephan Elliott,"Jessica Biel,Ben Barnes,Kristin Scott Thomas",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EATPRAYLOVE,"80,574,010",72135765.71 ,1.342900167,-0.556878898,-0.451701941,-1.008580839,SONY / COLUMBIA,2010/8/13,8,2010,Drama,133,PG-13,60,3082,12,5.6,Ryan Murphy,"Julia Roberts,Javier Bardem,Richard Jenkins",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHELONCONSPIRACY,"666,009","606,039",#VALUE!,-0.368195056,#VALUE!,#VALUE!,AFTER DARK FILMS,2009/2/27,2,2009,Thriller,106,PG-13,N/A,400,1,5.8,Greg Marcks,"Shane West,Edward Burns,Ving Rhames",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIETHESLEEPWALKINGCANNIBAL,"1,632","1,368",#VALUE!,#VALUE!,-0.033560306,#VALUE!,DOPPELGANGER RELEASING,2013/4/5,4,2013,Horror Comedy,90,Unrated,N/A,5,2,NA,NA,NA,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDEN(2008),"15,611","14,157",#VALUE!,#VALUE!,#VALUE!,#VALUE!,LIBERATION ENTERTAINMENT,2008/11/14,11,2008,Drama,83,Unrated,N/A,1,6,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENLAKE,"7,321","6,639",#VALUE!,0.669566077,#VALUE!,#VALUE!,THIRD RAIL RELEASING,2008/10/31,10,2008,Horror Thriller,91,R,N/A,10,1,6.9,James Watkins,"Kelly Reilly,Michael Fassbender,Tara Ellis",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGEOFDARKNESS,"43,313,890",38777772.40 ,0.541423625,0.386540314,-0.153029345,0.233510969,WARNER BROS.,2010/1/29,1,2010,Drama / Thriller,108,R,80,3066,10,6.6,Martin Campbell,"Mel Gibson,Ray Winstone,Danny Huston",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGEOFTOMORROW,"100,206,256",82627422.36 ,0.562956494,1.70732721,0.802722964,2.510050174,WARNER BROS.,2014/6/6,6,2014,Sci-Fi Action,113,PG-13,178,3490,14,8,Doug Liman,"Tom Cruise,Emily Blunt,Bill Paxton",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHMANN,"2,706","2,423",#VALUE!,-0.273853135,#VALUE!,#VALUE!,REGENT RELEASING,2010/10/29,10,2010,Foreign,96,Unrated,N/A,1,3,5.9,Robert Young,"Avner W. Less,Thomas Kretschmann,Troy Garity",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIGHTMILESHIGH,"2,616","2,372",#VALUE!,#VALUE!,#VALUE!,#VALUE!,MPI MEDIA GROUP,2008/7/11,7,2008,Foreign,114,Unrated,N/A,1,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKLAVYA-THEROYALGUARD,"1,290,212","1,215,091",#VALUE!,#VALUE!,#VALUE!,#VALUE!,EROS,2007/2/16,2,2007,Foreign,105,Unrated,N/A,80,4,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKMAINAUREKKTU,"1,155,545","982,501",#VALUE!,-0.368195056,#VALUE!,#VALUE!,UTV COMMUNICATIONS,2012/2/10,2,2012,Foreign,140,Unrated,N/A,111,6,5.8,Shakun Batra,"Kareena Kapoor,Imran Khan,Boman Irani",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKTHATIGER,"2,347,774",1996192.91 ,#VALUE!,-0.839904662,#VALUE!,#VALUE!,YASH RAJ,2012/8/15,8,2012,Foreign,133,Unrated,N/A,120,2,5.3,Kabir Khan,"Salman Khan,Katrina Kaif,Ranvir Shorey",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKTHIDAAYAN,"112,135","93,961",#VALUE!,-0.556878898,#VALUE!,#VALUE!,EROS,2013/4/19,4,2013,Foreign,130,Unrated,N/A,47,3,5.6,Kannan Iyer,"Emraan Hashmi,Konkona Sen Sharma,Kalki Koechlin",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKVILLAIN,"730,530","602,376",#VALUE!,0.197856471,#VALUE!,#VALUE!,EROS,2014/6/27,6,2014,Foreign / Action,129,Unrated,N/A,104,2,6.4,Mohit Suri,"Sidharth Malhotra,Shraddha Kapoor,Meher Acharya Dar",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKVIVAHAISABHI,"6,437","5,837",#VALUE!,#VALUE!,#VALUE!,#VALUE!,EROS,2008/11/7,11,2008,Foreign,#VALUE!,Unrated,N/A,7,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELAINESTRITCHSHOOTME,"327,452","270,008",#VALUE!,#VALUE!,1.400068157,#VALUE!,IFC,2014/2/21,2,2014,Documentary,81,Unrated,N/A,2,9,NA,NA,NA,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELBULLICOOKINGINPROGRESS,"237,181","205,837",#VALUE!,#VALUE!,0.205377771,#VALUE!,ALIVE MIND CINEMA,2011/7/27,7,2011,Foreign,108,Unrated,N/A,1,31,NA,NA,NA,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELCANTANTE,"7,556,712","7,116,731",#VALUE!,#VALUE!,-0.690640018,#VALUE!,PICTUREHOUSE,2007/8/3,8,2007,Music Drama,116,R,N/A,542,9,NA,NA,NA,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEGY,"3,581,642",3248055.05 ,#VALUE!,0.575224156,0.504050368,1.079274524,SAMUEL GOLDWYN,2008/8/8,8,2008,Drama,108,R,N/A,6,14,6.8,Isabel Coixet,"Ben Kingsley,Pen??lope Cruz,Patricia Clarkson",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEKTRALUXX,"11,514","9,992",#VALUE!,-1.028588504,-0.451701941,-1.480290445,SAMUEL GOLDWYN,2011/3/11,3,2011,Comedy,100,R,N/A,4,3,5.1,Sebastian Gutierrez,"Joseph Gordon-Levitt,Carla Gugino,Ermahn Ospina",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEMENTAL,"10,358","8,679",#VALUE!,#VALUE!,#VALUE!,#VALUE!,THE FILM COLLABORATIVE,2013/5/17,5,2013,Documentary,92,Unrated,N/A,1,5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELENAJASON,"233,380","198,431",#VALUE!,1.046933762,#VALUE!,#VALUE!,ZEITGEIST,2012/5/16,5,2012,Foreign,109,Unrated,N/A,1,24,7.3,Andrey Zvyagintsev,"Nadezhda Markina,Andrey Smirnov,Aleksey Rozin",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEVATE,"5,580","4,843",#VALUE!,#VALUE!,0.563784887,#VALUE!,VARIANCE FILMS,2011/10/21,10,2011,Documentary,81,PG,N/A,1,2,NA,NA,NA,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEVENMENOUT,"1,302","1,226",#VALUE!,#VALUE!,#VALUE!,#VALUE!,REGENT RELEASING,2007/11/16,11,2007,Foreign,85,R,N/A,1,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEVENMINUTES,"7,986","7,267",#VALUE!,#VALUE!,-0.093294825,#VALUE!,REGENT RELEASING,2009/2/20,2,2009,Documentary,103,Unrated,N/A,4,3,NA,NA,NA,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELINMIGRANTE,"15,100","14,221",#VALUE!,#VALUE!,#VALUE!,#VALUE!,INDICAN,2007/7/13,7,2007,Documentary,90,Unrated,N/A,2,14,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELITESQUAD,"8,744","7,930",#VALUE!,#VALUE!,-1.467188769,#VALUE!,IFC,2008/9/19,9,2008,Foreign,115,R,N/A,1,2,NA,NA,NA,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELITESQUADTHEENEMYWITHIN,"100,119","86,888",#VALUE!,#VALUE!,0.802722964,#VALUE!,VARIANCE FILMS,2011/11/11,11,2011,Foreign / Action,116,Unrated,N/A,1,15,NA,NA,NA,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIZABETHTHEGOLDENAGE,"16,383,509",15429598.74 ,#VALUE!,0.669566077,-0.750374537,-0.08080846,UNIVERSAL,2007/10/12,10,2007,Period Drama,114,PG-13,N/A,2001,7,6.9,Shekhar Kapur,"Cate Blanchett,Clive Owen,Geoffrey Rush",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLES,"157,508","133,921",#VALUE!,-0.462536977,-0.451701941,-0.914238918,KINO LORBER,2012/4/27,4,2012,Foreign,96,NC-17,N/A,6,16,5.7,Malgorzata Szumowska,"Juliette Binoche,Ana??s Demoustier,Joanna Kulig",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMILAGRODEMARCELINOPAN,"18,193","15,469",0.006064333,#VALUE!,#VALUE!,#VALUE!,GIGAPIX RELEASING,2012/10/26,10,2012,Foreign,100,Unrated,3,1,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELSAANDFRED,"189,024","171,419",#VALUE!,0.197856471,-0.51143646,-0.313579989,MITROPOULOS FILMS,2008/6/27,6,2008,Foreign,108,PG,N/A,2,8,6.4,Michael Radford,"Shirley MacLaine,Christopher Plummer,Marcia Gay Harden",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELSAANDFRED(2014),"285,863","235,715",#VALUE!,#VALUE!,#VALUE!,#VALUE!,MILLENNIUM ENT.,2014/11/7,11,2014,Romantic Comedy,97,PG-13,N/A,34,14,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELSICARIO,ROOM164","6,123","5,314",#VALUE!,#VALUE!,#VALUE!,#VALUE!,ICARUS FILMS,2011/12/28,12,2011,Foreign,80,Unrated,N/A,1,4,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELSUPERSTARTHEUNLIKELYRISEOFJUANFRANCES,"3,271","2,928",#VALUE!,#VALUE!,#VALUE!,#VALUE!,CINEMA LIBRE,2010/9/17,9,2010,Comedy,90,Unrated,N/A,1,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELYSIUM,"93,050,117",77969631.73 ,0.809131452,0.480882235,0.205377771,0.686260006,TRISTAR,2013/8/9,8,2013,Sci-Fi,109,R,115,3284,15,6.7,Neill Blomkamp,"Matt Damon,Jodie Foster,Sharlto Copley",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMASMITHMYSTORY,"881,787","799,659",#VALUE!,0.197856471,#VALUE!,#VALUE!,CANDLELIGHT MEDIA GROUP,2008/4/11,4,2008,Period Drama,98,PG,N/A,41,25,6.4,"Gary Cook,T.C. Christensen","Patricia Place,Katherine Nelson,Nathan Mitchell",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPEROR,"3,346,265",2803941.12 ,#VALUE!,0.292198392,-0.57117098,-0.278972587,ROADSIDE ATTRACTIONS,2013/3/8,3,2013,War Drama,98,PG-13,N/A,260,14,6.5,Peter Webber,"Matthew Fox,Colin Moy,Tommy Lee Jones",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENCHANTED,"127,807,262",120365836.73 ,1.503614847,0.952591841,1.041661041,1.994252882,BUENA VISTA,2007/11/21,11,2007,Family Adventure,107,PG,85,3632,17,7.2,Kevin Lima,"Amy Adams,Susan Sarandon,James Marsden",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENCOUNTERSATTHEENDOFTHEWORLD,"944,933","856,924",#VALUE!,#VALUE!,1.340333638,#VALUE!,THINKFILM,2008/6/11,6,2008,Documentary,99,G,N/A,1,22,NA,NA,NA,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDERSGAME,"61,737,191",51731542.11 ,0.561247191,0.480882235,-0.391967422,0.088914813,LIONSGATE/SUMMIT,2013/11/1,11,2013,Sci-Fi,114,PG-13,110,3407,10,6.7,Gavin Hood,"Harrison Ford,Asa Butterfield,Hailee Steinfeld",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDGAME,"9,645","8,777",#VALUE!,-3.764504219,#VALUE!,#VALUE!,"MONTEREY MEDIA, INC.",2009/11/6,11,2009,Drama,109,PG-13,N/A,14,10,2.2,Bruce Koehler,"Kurt Angle,Jenna Morasca,Natalie Bail",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDGAME,"9,645","8,777",#VALUE!,-3.764504219,#VALUE!,#VALUE!,"MONTEREY MEDIA, INC.",2009/11/6,11,2009,Drama,109,PG-13,N/A,14,10,2.2,Bruce Koehler,"Kurt Angle,Jenna Morasca,Natalie Bail",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDGAME,"9,645","8,777",#VALUE!,0.10351455,#VALUE!,#VALUE!,"MONTEREY MEDIA, INC.",2009/11/6,11,2009,Drama,109,PG-13,N/A,14,10,6.3,Pete Travis,"William Hurt,Chiwetel Ejiofor,Jonny Lee Miller",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDGAME,"9,645","8,777",#VALUE!,0.10351455,#VALUE!,#VALUE!,"MONTEREY MEDIA, INC.",2009/11/6,11,2009,Drama,109,PG-13,N/A,14,10,6.3,Pete Travis,"William Hurt,Chiwetel Ejiofor,Jonny Lee Miller",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDLESSLOVE(2014),"23,438,250","19,326,560",1.1719125,#VALUE!,#VALUE!,#VALUE!,UNIVERSAL,2014/2/14,2,2014,Romance,103,PG-13,20,2896,5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDOFWATCH,"41,003,371",34863082.41 ,5.857624429,1.424301447,0.623519406,2.047820853,OPEN ROAD FILMS,2012/9/21,9,2012,Crime Drama,109,R,7,2730,17,7.7,David Ayer,"Jake Gyllenhaal,Michael Pe??a,Anna Kendrick",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEMIESOFTHEPEOPLE,"73,171","65,508",#VALUE!,#VALUE!,#VALUE!,#VALUE!,INTERNATIONAL FILM CIRCUIT,2010/7/30,7,2010,Documentary,93,Unrated,N/A,1,26,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEMY,"1,008,726","831,769",#VALUE!,0.575224156,0.205377771,0.780601927,A24,2014/3/14,3,2014,Thriller,90,R,N/A,55,9,6.8,Denis Villeneuve,"Jake Gyllenhaal,M??lanie Laurent,Sarah Gadon",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLISHVINGLISH,"1,862,086",1583237.09 ,#VALUE!,1.612985289,#VALUE!,#VALUE!,EROS,2012/10/5,10,2012,Foreign,134,Unrated,N/A,88,7,7.9,Gauri Shinde,"Sridevi,Adil Hussain,Mehdi Nebbou",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENLIGHTENUP!,"246,649","223,677",#VALUE!,#VALUE!,#VALUE!,#VALUE!,BALCONY RELEASING,2008/9/12,9,2008,Documentary,82,Unrated,N/A,1,16,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOUGHSAID,"17,550,872",14706429.94 ,#VALUE!,0.85824992,1.220864599,2.079114519,FOX SEARCHLIGHT,2013/9/18,9,2013,Comedy,93,PG-13,N/A,4,18,7.1,Nicole Holofcener,"Julia Louis-Dreyfus,James Gandolfini,Catherine Keener",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERTHEVOID,"336,467","301,230",0.021029188,1.046933762,0.683253926,1.730187688,IFC,2010/9/24,9,2010,Drama,150,Unrated,16,3,13,7.3,Gaspar No??,"Nathaniel Brown,Paz de la Huerta,Cyril Roy",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC,"107,518,682",90093299.29 ,1.07518682,0.480882235,-0.332232902,0.148649332,FOX,2013/5/24,5,2013,Animation,102,PG,100,3882,17,6.7,Chris Wedge,"Amanda Seyfried,Josh Hutcherson,Beyonc?? Knowles",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
